gameID,Date,Team 1,Team 2,Score 1,Score 2
4,10/11/25,BIG TIME,MANA HAWAII,85,72
5,10/11/25,MANAFEST,LOCKDOWN,91,88
6,10/11/25,BIG TIME,RAINJAHZ,78,82
7,10/11/25,JAMMERS,SHARKS,95,89
8,10/18/25,LOCKDOWN,BIG TIME,78,95

